bodyPart,equipment,gifUrl,name,target
shoulders,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0587.gif,lever military press ,delts
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0588.gif,lever narrow grip seated row ,upper back
back,barbell,http://d205bpvrqc9yn1.cloudfront.net/0589.gif,lever one arm bent over row ,upper back
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/1356.gif,lever one arm lateral high row,upper back
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/1347.gif,lever one arm lateral wide pulldown ,lats
shoulders,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0590.gif,lever one arm shoulder press ,delts
upper arms,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0591.gif,lever overhand triceps dip,triceps
upper arms,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0592.gif,lever preacher curl,biceps
upper arms,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/1614.gif,lever preacher curl v. 2,biceps
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/2285.gif,lever pullover ,lats
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/2736.gif,lever reverse grip lateral pulldown ,lats
upper arms,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/1616.gif,lever reverse grip preacher curl,biceps
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/1348.gif,lever reverse grip vertical row,upper back
upper legs,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0593.gif,lever reverse hyperextension ,glutes
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/1349.gif,lever reverse t-bar row,upper back
lower legs,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/2315.gif,lever rotary calf,calves
lower legs,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/2335.gif,lever seated calf press,calves
lower legs,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0594.gif,lever seated calf raise ,calves
waist,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/1452.gif,lever seated crunch,abs
waist,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0595.gif,lever seated crunch (chest pad),abs
waist,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/3760.gif,lever seated crunch v. 2,abs
upper arms,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/1451.gif,lever seated dip,triceps
chest,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0596.gif,lever seated fly,pectorals
upper legs,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/3759.gif,lever seated good morning,glutes
upper legs,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0597.gif,lever seated hip abduction,abductors
upper legs,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0598.gif,lever seated hip adduction,adductors
upper legs,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0599.gif,lever seated leg curl,hamstrings
waist,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0600.gif,lever seated leg raise crunch ,abs
shoulders,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0602.gif,lever seated reverse fly,delts
shoulders,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0601.gif,lever seated reverse fly (parallel grip),delts
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/1350.gif,lever seated row,upper back
shoulders,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/1454.gif,lever seated shoulder press,delts
lower legs,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/1385.gif,lever seated squat calf raise on leg press machine,calves
waist,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/1453.gif,lever seated twist,abs
shoulders,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0603.gif,lever shoulder press ,delts
shoulders,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0869.gif,lever shoulder press  v. 2,delts
shoulders,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/2318.gif,lever shoulder press  v. 3,delts
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0604.gif,lever shrug ,traps
lower legs,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0605.gif,lever standing calf raise,calves
chest,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/3758.gif,lever standing chest press,pectorals
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0606.gif,lever t bar row ,upper back
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/1351.gif,lever t-bar reverse grip row,upper back
upper arms,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0607.gif,lever triceps extension,triceps
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/1313.gif,lever unilateral row,upper back
back,rope,http://d205bpvrqc9yn1.cloudfront.net/0609.gif,london bridge,upper back
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3013.gif,low glute bridge on floor,glutes
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/1352.gif,lower back curl,spine
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3582.gif,lunge with jump,glutes
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/1688.gif,lunge with twist,abs
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0613.gif,lying (side) quads stretch,quads
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/2312.gif,lying elbow to knee,abs
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0620.gif,lying leg raise flat bench,abs
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0865.gif,lying leg-hip raise,abs
chest,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/1301.gif,machine inner chest press,pectorals
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0624.gif,march sit (wall),glutes
back,medicine ball,http://d205bpvrqc9yn1.cloudfront.net/1353.gif,medicine ball catch and overhead throw,lats
chest,medicine ball,http://d205bpvrqc9yn1.cloudfront.net/1302.gif,medicine ball chest pass,pectorals
chest,medicine ball,http://d205bpvrqc9yn1.cloudfront.net/1303.gif,medicine ball chest push from 3 point stance,pectorals
chest,medicine ball,http://d205bpvrqc9yn1.cloudfront.net/1304.gif,medicine ball chest push multiple response,pectorals
chest,medicine ball,http://d205bpvrqc9yn1.cloudfront.net/1305.gif,medicine ball chest push single response,pectorals
chest,medicine ball,http://d205bpvrqc9yn1.cloudfront.net/1312.gif,medicine ball chest push with run release,pectorals
upper arms,medicine ball,http://d205bpvrqc9yn1.cloudfront.net/1701.gif,medicine ball close grip push up,triceps
back,medicine ball,http://d205bpvrqc9yn1.cloudfront.net/1354.gif,medicine ball overhead slam,upper back
upper arms,medicine ball,http://d205bpvrqc9yn1.cloudfront.net/1750.gif,medicine ball supine chest throw,triceps
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0627.gif,mixed grip chin-up,lats
chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/3217.gif,modified hindu push-up (male),pectorals
lower arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/1421.gif,modified push up to lower arms,forearms
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0628.gif,monster walk,glutes
cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/0630.gif,mountain climber,cardiovascular system
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0631.gif,muscle up,lats
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/1401.gif,muscle-up (on vertical bar),lats
upper arms,stability ball,http://d205bpvrqc9yn1.cloudfront.net/2328.gif,narrow push-up on exercise ball,triceps
neck,body weight,http://d205bpvrqc9yn1.cloudfront.net/1403.gif,neck side stretch,levator scapulae
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0634.gif,negative crunch,abs
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/1495.gif,oblique crunch v. 2,abs
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0635.gif,oblique crunches floor,abs
upper arms,olympic barbell,http://d205bpvrqc9yn1.cloudfront.net/0636.gif,olympic barbell hammer curl,biceps
upper arms,olympic barbell,http://d205bpvrqc9yn1.cloudfront.net/0637.gif,olympic barbell triceps extension,triceps
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/1355.gif,one arm against wall,lats
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0638.gif,one arm chin-up,lats
upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/0639.gif,one arm dip,triceps
waist,medicine ball,http://d205bpvrqc9yn1.cloudfront.net/0640.gif,one arm slam (with medicine ball),abs
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/1773.gif,one arm towel row,upper back
lower legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1386.gif,one leg donkey calf raise,calves
lower legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1387.gif,one leg floor calf raise,calves
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1476.gif,one leg squat,glutes
waist,weighted,http://d205bpvrqc9yn1.cloudfront.net/0641.gif,otis up,abs
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0642.gif,outside leg kick push-up,glutes
upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/0643.gif,overhead triceps stretch,triceps
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3147.gif,pelvic tilt,abs
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1422.gif,pelvic tilt into bridge,glutes
lower legs,rope,http://d205bpvrqc9yn1.cloudfront.net/1388.gif,peroneals stretch,calves
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3662.gif,pike-to-cobra push-up,glutes
chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/1306.gif,plyo push up,pectorals
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/1687.gif,posterior step to overhead reach,abs
lower legs,rope,http://d205bpvrqc9yn1.cloudfront.net/1389.gif,posterior tibialis stretch,calves
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3119.gif,potty squat,abs
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3132.gif,potty squat with support,glutes
upper legs,barbell,http://d205bpvrqc9yn1.cloudfront.net/0648.gif,power clean,hamstrings
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3665.gif,power point plank,abs
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3203.gif,prisoner half sit-up (male),abs
waist,stability ball,http://d205bpvrqc9yn1.cloudfront.net/1707.gif,prone twist on stability ball,abs
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0651.gif,pull up (neutral grip),lats
waist,stability ball,http://d205bpvrqc9yn1.cloudfront.net/0650.gif,pull-in (on stability ball),abs
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0652.gif,pull-up,lats
chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/1689.gif,push and pull bodyweight,pectorals
cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/3638.gif,push to run,cardiovascular system
chest,bosu ball,http://d205bpvrqc9yn1.cloudfront.net/1307.gif,push up on bosu ball,pectorals
chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/0662.gif,push-up,pectorals
chest,bosu ball,http://d205bpvrqc9yn1.cloudfront.net/0653.gif,push-up (bosu ball),pectorals
chest,stability ball,http://d205bpvrqc9yn1.cloudfront.net/0655.gif,push-up (on stability ball),pectorals
chest,stability ball,http://d205bpvrqc9yn1.cloudfront.net/0656.gif,push-up (on stability ball),pectorals
chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/0659.gif,push-up (wall),pectorals
chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/0658.gif,push-up (wall) v. 2,pectorals
upper arms,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0660.gif,push-up close-grip off dumbbell,triceps
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0661.gif,push-up inside leg kick,glutes
chest,medicine ball,http://d205bpvrqc9yn1.cloudfront.net/0663.gif,push-up medicine ball,pectorals
upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/1467.gif,push-up on lower arms,triceps
chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/3145.gif,push-up plus,pectorals
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0664.gif,push-up to side plank,abs
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3533.gif,quads,quads
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3201.gif,quarter sit-up,abs
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3552.gif,quick feet v. 2,quads
chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/0666.gif,raise single arm push-up,pectorals
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0668.gif,rear decline bridge,glutes
shoulders,body weight,http://d205bpvrqc9yn1.cloudfront.net/0669.gif,rear deltoid stretch,delts
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0670.gif,rear pull-up,lats
upper legs,rope,http://d205bpvrqc9yn1.cloudfront.net/1582.gif,reclining big toe pose with rope,hamstrings
upper legs,resistance band,http://d205bpvrqc9yn1.cloudfront.net/3236.gif,resistance band hip thrusts on knees (female),glutes
upper legs,resistance band,http://d205bpvrqc9yn1.cloudfront.net/3007.gif,resistance band leg extension,quads
upper arms,resistance band,http://d205bpvrqc9yn1.cloudfront.net/3123.gif,resistance band seated biceps curl,biceps
chest,resistance band,http://d205bpvrqc9yn1.cloudfront.net/3124.gif,resistance band seated chest press,pectorals
upper legs,resistance band,http://d205bpvrqc9yn1.cloudfront.net/3006.gif,resistance band seated hip abduction,abductors
shoulders,resistance band,http://d205bpvrqc9yn1.cloudfront.net/3122.gif,resistance band seated shoulder press,delts
back,resistance band,http://d205bpvrqc9yn1.cloudfront.net/3144.gif,resistance band seated straight back row,upper back
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0872.gif,reverse crunch,abs
upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/0672.gif,reverse dip,triceps
back,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0673.gif,reverse grip machine lat pulldown,lats
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0674.gif,reverse grip pull-up,lats
upper legs,stability ball,http://d205bpvrqc9yn1.cloudfront.net/0675.gif,reverse hyper extension (on stability ball),glutes
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1423.gif,reverse hyper on flat bench,glutes
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3663.gif,reverse plank with leg lift,abs
upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/0677.gif,ring dips,triceps
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/2571.gif,rocking frog stretch,glutes
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0678.gif,rocky pull-up pulldown,lats
back,roller,http://d205bpvrqc9yn1.cloudfront.net/2208.gif,roller back stretch,spine
waist,roller,http://d205bpvrqc9yn1.cloudfront.net/2204.gif,roller body saw,abs
upper legs,roller,http://d205bpvrqc9yn1.cloudfront.net/2205.gif,roller hip lat stretch,glutes
upper legs,roller,http://d205bpvrqc9yn1.cloudfront.net/2202.gif,roller hip stretch,glutes
waist,roller,http://d205bpvrqc9yn1.cloudfront.net/2206.gif,roller reverse crunch,abs
chest,roller,http://d205bpvrqc9yn1.cloudfront.net/2203.gif,roller seated shoulder flexor depresor retractor,pectorals
chest,roller,http://d205bpvrqc9yn1.cloudfront.net/2209.gif,roller seated single leg shoulder flexor depresor retractor,pectorals
back,roller,http://d205bpvrqc9yn1.cloudfront.net/2207.gif,roller side lat stretch,lats
back,rope,http://d205bpvrqc9yn1.cloudfront.net/0680.gif,rope climb,upper back
cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/0685.gif,run,cardiovascular system
cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/0684.gif,run (equipment),cardiovascular system
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1585.gif,runners stretch,hamstrings
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0687.gif,russian twist,abs
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/3012.gif,scapula dips,traps
chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/3021.gif,scapula push-up,serratus anterior
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0688.gif,scapular pull-up,traps
cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/3219.gif,scissor jumps (male),cardiovascular system
lower legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1390.gif,seated calf stretch (male),calves
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1424.gif,seated glute stretch,glutes
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0689.gif,seated leg raise,abs
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0690.gif,seated lower back stretch,lats
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/2567.gif,seated piriformis stretch,glutes
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0691.gif,seated side crunch (wall),abs
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1587.gif,seated wide angle pose sequence,hamstrings
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0697.gif,self assisted inverse leg curl,hamstrings
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1766.gif,self assisted inverse leg curl,hamstrings
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0696.gif,self assisted inverse leg curl (on floor),hamstrings
cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/3222.gif,semi squat jump (male),cardiovascular system
cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/3656.gif,short stride run,cardiovascular system
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/1763.gif,shoulder grip pull-up,lats
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3699.gif,shoulder tap,abs
chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/0699.gif,shoulder tap push-up,pectorals
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1774.gif,side bridge hip abduction,abductors
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0705.gif,side bridge v. 2,abs
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0709.gif,side hip (on parallel bars),abs
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0710.gif,side hip abduction,abductors
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/1358.gif,side lying floor stretch,lats
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3667.gif,side lying hip adduction (male),adductors
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1775.gif,side plank hip adduction,adductors
neck,body weight,http://d205bpvrqc9yn1.cloudfront.net/0716.gif,side push neck stretch,levator scapulae
upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/0717.gif,side push-up,triceps
lower arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/0721.gif,side wrist pull stretch,forearms
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0720.gif,side-to-side chin,lats
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3213.gif,side-to-side toe touch (male),abs
chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/0725.gif,single arm push-up,pectorals
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3645.gif,single leg bridge with outstretched leg,glutes
lower legs,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0727.gif,single leg calf raise (on a dumbbell),calves
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0730.gif,single leg platform slide,hamstrings
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1759.gif,single leg squat (pistol) male,glutes
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1489.gif,sissy squat,quads
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0735.gif,sit-up v. 2,abs
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3679.gif,sit-up with arms on chest,abs
cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/3361.gif,skater hops,cardiovascular system
upper arms,skierg machine,http://d205bpvrqc9yn1.cloudfront.net/2142.gif,ski ergometer,triceps
cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/3671.gif,ski step,cardiovascular system
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/3304.gif,skin the cat,upper back
upper legs,sled machine,http://d205bpvrqc9yn1.cloudfront.net/1425.gif,sled 45 degrees one leg press,glutes
lower legs,sled machine,http://d205bpvrqc9yn1.cloudfront.net/0738.gif,sled 45в° calf press,calves
upper legs,sled machine,http://d205bpvrqc9yn1.cloudfront.net/0739.gif,sled 45в° leg press,glutes
upper legs,sled machine,http://d205bpvrqc9yn1.cloudfront.net/1464.gif,sled 45в° leg press (back pov),glutes
upper legs,sled machine,http://d205bpvrqc9yn1.cloudfront.net/1463.gif,sled 45в° leg press (side pov),glutes
upper legs,sled machine,http://d205bpvrqc9yn1.cloudfront.net/0740.gif,sled 45в° leg wide press,glutes
lower legs,sled machine,http://d205bpvrqc9yn1.cloudfront.net/1391.gif,sled calf press on leg press,calves
upper legs,sled machine,http://d205bpvrqc9yn1.cloudfront.net/0741.gif,sled closer hack squat,glutes
lower legs,sled machine,http://d205bpvrqc9yn1.cloudfront.net/0742.gif,sled forward angled calf raise,calves
upper legs,sled machine,http://d205bpvrqc9yn1.cloudfront.net/0743.gif,sled hack squat,glutes
lower legs,sled machine,http://d205bpvrqc9yn1.cloudfront.net/2334.gif,sled lying calf press,calves
upper legs,sled machine,http://d205bpvrqc9yn1.cloudfront.net/0744.gif,sled lying squat,glutes
lower legs,sled machine,http://d205bpvrqc9yn1.cloudfront.net/1392.gif,sled one leg calf press on leg press,calves
waist,hammer,http://d205bpvrqc9yn1.cloudfront.net/1496.gif,sledge hammer,abs
back,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0746.gif,smith back shrug,traps
shoulders,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0747.gif,smith behind neck press,delts
chest,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0748.gif,smith bench press,pectorals
upper legs,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0749.gif,smith bent knee good morning,glutes
back,smith machine,http://d205bpvrqc9yn1.cloudfront.net/1359.gif,smith bent over row,upper back
upper legs,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0750.gif,smith chair squat,quads
upper arms,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0751.gif,smith close-grip bench press,triceps
upper legs,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0752.gif,smith deadlift,glutes
chest,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0753.gif,smith decline bench press,pectorals
chest,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0754.gif,smith decline reverse-grip press,pectorals
upper legs,smith machine,http://d205bpvrqc9yn1.cloudfront.net/1433.gif,smith front squat (clean grip),glutes
upper legs,smith machine,http://d205bpvrqc9yn1.cloudfront.net/3281.gif,smith full squat,glutes
upper legs,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0755.gif,smith hack squat,glutes
waist,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0756.gif,smith hip raise,abs
chest,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0757.gif,smith incline bench press,pectorals
chest,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0758.gif,smith incline reverse-grip press,pectorals
chest,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0759.gif,smith incline shoulder raises,serratus anterior
upper legs,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0760.gif,smith leg press,glutes
upper legs,smith machine,http://d205bpvrqc9yn1.cloudfront.net/1434.gif,smith low bar squat,glutes
upper arms,smith machine,http://d205bpvrqc9yn1.cloudfront.net/1683.gif,smith machine bicep curl,biceps
upper arms,smith machine,http://d205bpvrqc9yn1.cloudfront.net/1625.gif,smith machine decline close grip bench press,triceps
upper arms,smith machine,http://d205bpvrqc9yn1.cloudfront.net/1752.gif,smith machine incline tricep extension,triceps
chest,smith machine,http://d205bpvrqc9yn1.cloudfront.net/1626.gif,smith machine reverse decline close grip bench press,pectorals
back,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0761.gif,smith narrow row,upper back
back,smith machine,http://d205bpvrqc9yn1.cloudfront.net/1360.gif,smith one arm row,upper back
lower legs,smith machine,http://d205bpvrqc9yn1.cloudfront.net/1393.gif,smith one leg floor calf raise,calves
shoulders,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0762.gif,smith rear delt row,delts
lower legs,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0763.gif,smith reverse calf raises,calves
lower legs,smith machine,http://d205bpvrqc9yn1.cloudfront.net/1394.gif,smith reverse calf raises,calves
back,smith machine,http://d205bpvrqc9yn1.cloudfront.net/1361.gif,smith reverse grip bent over row,upper back
chest,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0764.gif,smith reverse-grip press,pectorals
lower legs,smith machine,http://d205bpvrqc9yn1.cloudfront.net/1395.gif,smith seated one leg calf raise,calves
shoulders,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0765.gif,smith seated shoulder press,delts
lower arms,smith machine,http://d205bpvrqc9yn1.cloudfront.net/1426.gif,smith seated wrist curl,forearms
shoulders,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0766.gif,smith shoulder press,delts
back,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0767.gif,smith shrug,traps
upper legs,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0768.gif,smith single leg split squat,quads
upper legs,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0769.gif,smith sprint lunge,glutes
upper legs,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0770.gif,smith squat,glutes
lower arms,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0771.gif,smith standing back wrist curl,forearms
shoulders,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0772.gif,smith standing behind head military press,delts
lower legs,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0773.gif,smith standing leg calf raise,calves
shoulders,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0774.gif,smith standing military press,delts
upper legs,smith machine,http://d205bpvrqc9yn1.cloudfront.net/3142.gif,smith sumo squat,glutes
lower legs,smith machine,http://d205bpvrqc9yn1.cloudfront.net/1396.gif,smith toe raise,calves
shoulders,smith machine,http://d205bpvrqc9yn1.cloudfront.net/0775.gif,smith upright row,delts
chest,smith machine,http://d205bpvrqc9yn1.cloudfront.net/1308.gif,smith wide grip bench press,pectorals
chest,smith machine,http://d205bpvrqc9yn1.cloudfront.net/1309.gif,smith wide grip decline bench press,pectorals
upper legs,barbell,http://d205bpvrqc9yn1.cloudfront.net/0776.gif,snatch pull,quads
waist,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0777.gif,spell caster,abs
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/1362.gif,sphinx,spine
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0778.gif,spider crawl push up,glutes
back,body weight,http://d205bpvrqc9yn1.cloudfront.net/1363.gif,spine stretch,spine
waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/2329.gif,spine twist,abs
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/2368.gif,split squats,quads
upper legs,barbell,http://d205bpvrqc9yn1.cloudfront.net/0786.gif,squat jerk,quads
upper legs,bosu ball,http://d205bpvrqc9yn1.cloudfront.net/1705.gif,squat on bosu ball,quads
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1685.gif,squat to overhead reach,quads
upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1686.gif,squat to overhead reach with twist,quads
