bodyPart,equipment,gifUrl,name,target
back,stability ball,http://d205bpvrqc9yn1.cloudfront.net/1333.gif,exercise ball back extension with arms extended,spine
back,stability ball,http://d205bpvrqc9yn1.cloudfront.net/1334.gif,exercise ball back extension with hands behind head,spine
back,stability ball,http://d205bpvrqc9yn1.cloudfront.net/1335.gif,exercise ball back extension with knees off ground,spine
back,stability ball,http://d205bpvrqc9yn1.cloudfront.net/1336.gif,exercise ball back extension with rotation,spine
upper arms,stability ball,http://d205bpvrqc9yn1.cloudfront.net/1744.gif,exercise ball dip,triceps
upper legs,stability ball,http://d205bpvrqc9yn1.cloudfront.net/1559.gif,exercise ball hip flexor stretch,glutes
back,stability ball,http://d205bpvrqc9yn1.cloudfront.net/1338.gif,exercise ball hug,spine
back,stability ball,http://d205bpvrqc9yn1.cloudfront.net/1339.gif,exercise ball lat stretch,lats
back,stability ball,http://d205bpvrqc9yn1.cloudfront.net/1341.gif,exercise ball lower back stretch (pyramid),lats
back,stability ball,http://d205bpvrqc9yn1.cloudfront.net/1342.gif,exercise ball lying side lat stretch,lats
lower legs,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1382.gif,exercise ball on the wall calf raise,calves
lower legs,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/3241.gif,exercise ball on the wall calf raise (tennis ball between ankles),calves
lower legs,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/3240.gif,exercise ball on the wall calf raise (tennis ball between knees),calves
upper legs,stability ball,http://d205bpvrqc9yn1.cloudfront.net/1416.gif,exercise ball one leg prone lower body rotation,glutes
upper legs,stability ball,http://d205bpvrqc9yn1.cloudfront.net/1417.gif,exercise ball one legged diagonal kick hamstring curl,glutes
chest,stability ball,http://d205bpvrqc9yn1.cloudfront.net/1296.gif,exercise ball pike push up,pectorals
back,stability ball,http://d205bpvrqc9yn1.cloudfront.net/1343.gif,exercise ball prone leg raise,spine
upper legs,stability ball,http://d205bpvrqc9yn1.cloudfront.net/1560.gif,exercise ball seated hamstring stretch,hamstrings
upper arms,stability ball,http://d205bpvrqc9yn1.cloudfront.net/1745.gif,exercise ball seated triceps stretch,triceps
upper arms,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1746.gif,exercise ball supine triceps extension,triceps
upper arms,ez barbell,http://d205bpvrqc9yn1.cloudfront.net/1747.gif,ez bar french press on exercise ball,triceps
back,ez barbell,http://d205bpvrqc9yn1.cloudfront.net/3010.gif,ez bar lying bent arms pullover,lats
upper arms,ez barbell,http://d205bpvrqc9yn1.cloudfront.net/1748.gif,ez bar lying close grip triceps extension behind head,triceps
back,ez barbell,http://d205bpvrqc9yn1.cloudfront.net/1344.gif,ez bar reverse grip bent over row,upper back
upper arms,ez barbell,http://d205bpvrqc9yn1.cloudfront.net/1682.gif,ez bar seated close grip concentration curl,biceps
upper arms,ez barbell,http://d205bpvrqc9yn1.cloudfront.net/1749.gif,ez bar standing french press,triceps
shoulders,ez barbell,http://d205bpvrqc9yn1.cloudfront.net/0445.gif,ez barbell anti gravity press,delts
upper arms,ez barbell,http://d205bpvrqc9yn1.cloudfront.net/1627.gif,ez barbell close grip preacher curl,biceps
upper arms,ez barbell,http://d205bpvrqc9yn1.cloudfront.net/0446.gif,ez barbell close-grip curl,biceps
upper arms,ez barbell,http://d205bpvrqc9yn1.cloudfront.net/0447.gif,ez barbell curl,biceps
